NAME	s0_1_H52JYCCXY_L2	s0_2_H52JYCCXY_L2	s0_3_H52JYCCXY_L2	s8_1_H52JYCCXY_L2	s8_2_H52JYCCXY_L1	s8_3_H52JYCCXY_L1
IQGAP3	610.691145235997	588.486719967301	634.890023614768	201.069680333216	188.355054140709	209.728087483342
CDC20	534.121307454114	502.407087229468	537.681981721598	133.115575405787	172.373413183315	144.114831063972
MKI67	599.485803121575	609.178939375434	661.217201627501	196.415289584762	197.487420402076	222.616405708575
ADAMTS5	1128.00443951848	1172.83499605298	1172.57200533637	2205.25033661754	2150.67225455209	2230.85071825856
TMEM47	7407.66491614246	8140.31911515951	7579.18951635811	13861.7065270459	13106.0871308453	13044.1497092293
LOX	8336.77453312995	8910.06967714205	8704.17008451761	14281.5325725565	13966.8126509792	14144.3434195469
TIMP3	27999.3486084119	27657.2204609105	28296.65344484	42868.8005495615	43015.7281826071	43077.4461699025
IGFBP3	109487.397800017	105801.800900113	109273.99009316	165894.587690849	164975.054965825	167273.967249423
SYNPO2	4304.71892895711	4398.33815739274	4637.63366531999	7488.91471426262	7402.92440062118	7271.35480961799
TK1	943.116294630516	1075.99540922291	914.363144057632	350.941062433438	397.257932369494	419.456174966684
PLK1	411.796322705007	447.779627991997	428.322934591781	113.56713426228	142.69322283387	132.398178131942
TRAM1	5847.3210267092	5967.63607730555	6000.57141936382	9970.63586133833	9299.03194563765	9395.58398619507
TACC3	526.651079377833	569.449878111819	546.795235649082	215.963730728269	186.071962575367	198.011434551312
FBN1	7993.14404162101	7565.07541561341	8177.62652426294	12328.5502145052	12611.7978069488	12724.2850841849
MCM7	1591.15858024792	1514.67046067533	1459.13321216727	713.983540812856	835.611512915143	734.634138838298
ANLN	724.612123399287	703.535459876521	744.249070744584	309.982423847042	319.632819147869	321.036290337629
RDH10	1870.35835459893	1925.20409373269	1757.84542423483	3168.70922154754	3176.92191317328	3081.47972112396
NEAT1	39453.0758063702	37878.3491597519	36818.5584508079	25240.7610288665	22707.6287088908	23258.7277353733
TOP2A	606.022252688322	591.797475072603	648.053612621135	254.129734865593	253.423163752953	207.384756896936
FOXM1	494.902610053637	523.926995413927	498.191214702497	166.627188794656	208.902878228786	178.09312456686
KIF18B	279.199774351014	322.798622766874	299.724795837275	86.5716679212459	81.0497505696382	72.6432481785877
FOS	471.558147315258	508.200908663746	437.436188519266	186.175629938163	166.66568426996	157.003149289206
CYP1B1	3795.80964126044	4157.48072348207	3986.5423013897	6197.78672064145	6264.80325529823	6270.7526492226
PAPSS2	8079.98544300778	8124.59302840933	8062.1919745148	12028.8074503047	11647.1916205918	11950.9859906709
NPR3	1024.35502496008	1047.02630205153	1063.21295820655	1778.90814405915	1765.97132579198	1780.9312456686
CLIC4	14810.6609397372	14869.4288666843	14740.1819358217	23323.1520405034	21446.2206190393	21667.6062672036
SVEP1	5319.73616882183	5096.07979583498	5553.00939314735	8046.51072592741	8052.46395096096	8512.14835511999
MT-ND6	21324.6998222545	21069.6454901373	21810.0418160103	32911.1969823188	31350.2718294926	30460.9542926923
PKMYT1	445.412349048273	518.960862755975	491.103128314454	130.322940956714	182.647325227354	194.496438671702
FSTL1	20453.4844728582	19537.5935651591	20209.1468760822	30246.092839754	28514.6721053379	29342.0139376834
PLOD2	2538.94376742611	2654.3979056753	2709.67416777212	4211.29274920125	4052.48752848191	4031.70027391162
EDIL3	2455.83748007748	2464.02948712047	2495.00640859137	4004.63779996989	3828.7445550784	3716.52231004
COL5A2	7662.58644924556	7752.13307906293	7615.64253206805	11123.0630106556	10970.2549714679	11298.3684223568
F2R	8316.23140592017	8331.51522249065	8457.09964470581	12343.4442649002	11996.5046300891	11977.9342924145
MAN2C1	1846.08011335102	1876.3704559295	1672.7883875783	939.256053038033	1022.82502127318	1073.24540857397
